model	compare	trainAUC	trainCI1	trainCI2	train_threshold	train_sensitivity	train_specificity	train_accuracy	testAUC	testCI1	testCI2	test_threshold	test_sensitivity	test_specificity	test_accuracy
RF	Bacteria_vs_Cancer	0.890373563218391	0.843039578270603	0.937707548166178	0.475160277777778	0.793103448275862	0.8625	0.826347305389222	0.85702614379085	0.765571862588791	0.948480424992909	0.472034523809524	0.75	0.882352941176471	0.814285714285714
0.1*Lasso+0.9*RF	Bacteria_vs_Cancer	0.904885057471264	0.861083828285095	0.948686286657434	0.480273744114194	0.793103448275862	0.875	0.832335329341317	0.859477124183006	0.770663040181288	0.948291208184725	0.492947896293649	0.777777777777778	0.852941176470588	0.814285714285714
0.2*Lasso+0.8*RF	Bacteria_vs_Cancer	0.915373563218391	0.874509662829831	0.956237463606951	0.471733775432612	0.816091954022989	0.875	0.844311377245509	0.852941176470588	0.763022936360838	0.942859416580338	0.51463185656116	0.777777777777778	0.823529411764706	0.8
0.3*Lasso+0.7*RF	Bacteria_vs_Cancer	0.924568965517241	0.886460423153179	0.962677507881304	0.466631709973618	0.827586206896552	0.8875	0.856287425149701	0.847222222222222	0.756354151554025	0.938090292890419	0.535930522936978	0.805555555555556	0.823529411764706	0.814285714285714
0.4*Lasso+0.6*RF	Bacteria_vs_Cancer	0.929741379310345	0.893372054211255	0.966110704409435	0.494542802458866	0.873563218390805	0.85	0.862275449101796	0.843137254901961	0.752626505111891	0.93364800469203	0.526350493044088	0.777777777777778	0.794117647058823	0.785714285714286
0.5*Lasso+0.5*RF	Bacteria_vs_Cancer	0.932327586206897	0.896926384739131	0.967728787674663	0.436287926023064	0.804597701149425	0.925	0.862275449101796	0.834967320261438	0.742887902559913	0.927046737962963	0.437999256695043	0.694444444444444	0.852941176470588	0.771428571428571
0.6*Lasso+0.4*RF	Bacteria_vs_Cancer	0.934195402298851	0.899664632871179	0.968726171726523	0.440850293683644	0.816091954022989	0.925	0.868263473053892	0.834967320261438	0.743261683906443	0.926672956616433	0.458486295419372	0.694444444444444	0.823529411764706	0.757142857142857
0.7*Lasso+0.3*RF	Bacteria_vs_Cancer	0.93117816091954	0.895975657226242	0.966380664612838	0.436847665370617	0.804597701149425	0.9125	0.856287425149701	0.823529411764706	0.728084799441408	0.918974024088004	0.630982207331563	0.888888888888889	0.617647058823529	0.757142857142857
0.8*Lasso+0.2*RF	Bacteria_vs_Cancer	0.927873563218391	0.891772543442759	0.963974582994022	0.441109617646142	0.804597701149425	0.9	0.850299401197605	0.816176470588235	0.718180867474502	0.914172073701968	0.636801660986639	0.888888888888889	0.617647058823529	0.757142857142857
0.9*Lasso+0.1*RF	Bacteria_vs_Cancer	0.925431034482759	0.888621868524471	0.962240200441047	0.430414956461845	0.793103448275862	0.9125	0.850299401197605	0.80718954248366	0.706351160846299	0.908027924121021	0.642621114641715	0.888888888888889	0.617647058823529	0.757142857142857
