ID	20210421MCX013	20211004MCX022	20211004MCX024	20211215MCX012	20220112MCX014	20210427MCX009	20210727MCX015	20210903MCX010	20211028MCX025	20210821MCX014	20211204MCX005	20210609MCX005	20210703MCX010	20210705MCX013	20210726MCX012	20210804MCX006	20210820MCX015	20210915MCX009	20211012MCX016	20211022MCX013	20211101MCX015	20211117MCX015	20211125MCX009	20211218MCX005	20211224MCX012	20211229MCX017	20211230MCX012	20220111MCX017	20220112MCX018	220610MCX00019	220406MCX00012	20210227MCX003	20210313MCX003	20210318MCX014	20210622MCX005	20210813MCX011	20210906MCX013	20210507MCX013	20220319MCX015	220623MCX00022	20210429MCX006	20210429MCX007	20210517MCX008	20210607MCX008	20210618MCX006	20210728MCX008	20210805MCX008	20210806MCX011	20210811MCX009	20210817MCX018	20210821MCX012	20210825MCX010	20211019MCX022	20211022MCX007	20211026MCX022	20211216MCX009	20211223MCX008	20220119MCX020	20220210MCX018	20210723MCX013	20220319MCX007	20210316MCX006	20211215MCX006	20210610MCX001	20210420MCX006	20210603MCX015	20210929MCX011	20220122MCX010	20211117MCX016	20210904MCX014	20220301MCX019	20211012MCX008	20210625MCX009	20210629MCX008	20211223MCX009	20210604MCX008	20220224MCX007	20210907MCX021	20210807MCX013	20210626MCX008	20210720MCX011	20210820MCX013	20210419MCX007	20211106MCX005	20210707MCX008	20210427MCX011	20211103MCX004	20210612MCX010	20210716MCX016	20210729MCX010	20210820MCX014	20210916MCX006	20210924MCX012	20211015MCX011	20211021MCX010	20211028MCX021	20211116MCX012	20211120MCX006	20211124MCX016	20220105MCX008	20220127MCX014	20220127MCX022	20220308MCX015	20220311MCX014	20220318MCX013	20220322MCX015	20210707MCX007	20210827MCX011	20210807MCX009	20210402MCX009	20211123MCX010	20220305MCX010	20210811MCX014	20210412MCX007	20210603MCX009	20220212MCX010	20210909MCX011	20211117MCX012	20220304MCX013	20210312MCX003	20210710MCX007	20210514MCX011	20210601MCX009	20210601MCX013	20210716MCX019	20210719MCX005	20210810MCX012	20210904MCX008	20210907MCX019	20211119MCX007	20211130MCX014	20211217MCX014	20211217MCX015	20220112MCX017	20220215MCX018	20220215MCX021	20220226MCX022	20210401MCX008	20210617MCX008	20210619MCX013	20210707MCX011	20210915MCX007	20210330MCX006	20210612MCX012	20210923MCX014	20220114MCX015	20220118MCX016	20220125MCX016	20220308MCX017	20210901MCX015	20210902MCX005	20210924MCX011	20210709MCX011	20210625MCX010	20210420MCX005	20211221MCX010	20210413MCX011	20210428MCX012	20210604MCX018	20220115MCX010	20210410MCX005	20210706MCX012	20210810MCX013	20220104MCX011	20210731MCX011	20211112MCX014	20211208MCX015	20210409MCX016	20210419MCX006	20211115MCX003	20220218MCX014	20210713MCX012	230401MCX00022	230406MCX00012	230414MCX00014	230419MCX00028	230421MCX00020	230421MCX00028	230516MCX00019	230516MCX00036	230523MCX00019	230524MCX00017	230524MCX00019	230527MCX00019	230603MCX00017	230609MCX00025	230610MCX00012	230610MCX00018	230613MCX00010	230614MCX00013	230616MCX00017	230620MCX00025	230621MCX00018	20210923MCX016	20220127MCX026	20211008MCX018	20210525MCX011	20210531MCX004	20210517MCX007	20220106MCX009	20210831MCX008	20210309MCX010	20210323MCX004	20210410MCX006	20210515MCX006	20210604MCX007	20210622MCX006	20210626MCX006	20210629MCX010	20210828MCX008	20210902MCX009	20211103MCX005	20211120MCX005	20211123MCX011	20211209MCX017	20211224MCX018	20211022MCX016	20211127MCX011	20210517MCX004	20210629MCX009	20210719MCX006	20210811MCX011	20210825MCX012	20210914MCX012	20210916MCX005	20210916MCX007	20210922MCX010	20210923MCX015	20210923MCX021	20211103MCX002	20211104MCX009	20211118MCX015	20211119MCX011	20211207MCX007	20211216MCX010	20220310MCX026	220625MCX00023	20210924MCX010	20220105MCX010	20220225MCX010	20210428MCX011	20210507MCX009	20210924MCX017	20210910MCX014	20210714MCX007	20211104MCX017	20211222MCX010	20220226MCX020	20210713MCX010	20211126MCX009	20210422MCX007	20210630MCX014	20210723MCX017	20211022MCX010	20210430MCX011	20210414MCX013	20210526MCX015	20210813MCX009	20211112MCX010	20211124MCX019	20211130MCX010	20211204MCX004	20220104MCX015	20211203MCX011	20211022MCX006	230504MCX00021	230505MCX00035	230509MCX00022	230510MCX00019	230510MCX00020	230512MCX00018	230517MCX00018	230517MCX00023	230518MCX00014	230526MCX00012	230530MCX00020	230603MCX00015	230606MCX00022	230606MCX00030	20210309MCX007	20210323MCX007	20210330MCX002	20210415MCX002	20210429MCX009	20210430MCX009	20210524MCX007	20210602MCX013	20210603MCX006	20210603MCX008	20210604MCX011	20210617MCX009	20210618MCX007	20210619MCX010	20210630MCX015	20210701MCX010	20210703MCX008	20210710MCX009	20210716MCX014	20210723MCX015	20210728MCX012	20210730MCX009	20210730MCX018	20210731MCX007	20210802MCX012	20210805MCX014	20210814MCX014	20210819MCX009	20210826MCX009	20210826MCX011	20210827MCX010	20210906MCX015	20210907MCX017	20210908MCX019	20210910MCX011	20210910MCX012	20210910MCX013	20210910MCX015	20210910MCX019	20210913MCX015	20210914MCX010	20210915MCX010	20210922MCX011	20210924MCX016	20210928MCX006	20210928MCX009	20210928MCX012	20211004MCX018	20211006MCX010	20211011MCX008	20211016MCX013	20211016MCX015	20211019MCX016	20211020MCX013	20211022MCX015	20211026MCX013	20211028MCX015	20211029MCX010	20211029MCX014	20211106MCX007	20211109MCX014	20211109MCX016	20211110MCX010	20211113MCX008	20211117MCX010	20211125MCX012	20211126MCX011	20211127MCX010	20211207MCX012	20211208MCX010	20211209MCX019	20211210MCX014	20211218MCX011	20211222MCX007	20211229MCX015	20211229MCX016	20211230MCX010	20211230MCX011	20211231MCX012	20220105MCX011	20220112MCX016	20220113MCX017	20220115MCX009	20220115MCX016	20220121MCX008	20220121MCX009	20220122MCX014	20220127MCX024	20220127MCX030	20220217MCX012	20220219MCX016	20220226MCX019	20210319MCX011	20210325MCX003	20210326MCX005	20210329MCX004	20210330MCX004	20210330MCX005	20210410MCX001	20210507MCX008	20210526MCX014	20210528MCX007	20210618MCX005	20210618MCX008	20210623MCX012	20210628MCX011	20210702MCX009	20210712MCX011	20210713MCX013	20210714MCX008	20210729MCX011	20210730MCX017	20210804MCX003	20210807MCX014	20210812MCX008	20210816MCX011	20210827MCX009	20210827MCX014	20210907MCX013	20210909MCX012	20210910MCX007	20210910MCX010	20210915MCX011
DNA:Cryptococcus_neoformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.4088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3914	0	0	0	0	0	0	0	0	0	0	2464.74	0	0	0	0	1986.38	0	0	0	0	0	0	0	0	863763	0	0	0	0	1e+06	126895	0	9016.32	0	0	0	9828.66	0	0	0	811736	0	0	0	0	1e+06	0	0	0	0	0	0	1890.95	0	0	0	0	0	0	0	741408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30834.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19736.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA:Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.7367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38464.8	33000.1	0	0	0	4804.61	0	0	0	0	0	0	0	0	935604	0	0	0	0	0	0	0	0	0	0	0	0	0	75342.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7406.24	0	0	0	0	76023.4	0	0	0	33266.1	412500	0	807692	0	954176	0	467377	709470	0	83869.9	206500	0	454545	0	0	0	0	0	6935.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121201	0	0	0	0	0	0	859580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA:Haemophilus_haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	67.0853	0	0	98.9493	3165.99	9220.23	0	1747.68	0	0	0	0	0	0	0	0	0	0	3394.8	2524.51	19493.9	0	0	0	0	0	9638.72	147.54	0	0	9703.03	0	71806.8	0	0	0	0	0	15275.4	0	6238.74	0	0	0	0	0	0	11261.7	132.194	48484.8	8127.75	0	0	0	0	0	667.722	2771.2	0	1245.23	43.6997	0	0	0	0	0	0	0	0	0	0	118.845	0	0	0	0	0	14112.9	0	0	0	0	1231.41	0	0	0	5936.88	0	0	0	0	0	0	0	0	0	1999.47	0	0	0	0	0	0	0	144.302	0	0	0	0	0	0	0	2553.92	0	0	0	0	0	0	0	0	0	0	0	0	5007.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13268.3	3182.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15771.3	0	0	0	0	0	22859.2	15027.1	0	0	0	0	0	0	0	0	0	0	0	11114.6	317.479	7866.05	0	0	0	0	0	0	0	0	0	0	0	731.763	5990.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2349.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11822.5	0	26189.2	0	0	0	0	0	0	0	0	0	0	1333.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227.71	0	0	0	0	0	0	395.706	0	0	0	0	0	0	0	0	0	0	0	79097.5	0	0	0	0	0	0	0	0	0	1892.51	0	11438.2	0	0	31659	0	0	0	0	0	0	0	0	59352.5	0	0	0	0	0	2433.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11369	0	0	6366.11	0	0	12059.8	0	396.123	0	0	0	0	0	0	1441.47	0	0	0	119.111	14755.5	0	0	0	0	2905.19	3320.56	0	0
DNA:Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	174.901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599.995	0	0	0	0	0	0	0	0	0	0	3533.44	0	0	0	0	0	3135.22	0	0	0	0	0	0	0	0	0	0	0	1498.2	0	0	0	0	0	0	0	0	0	0	0	209646	0	0	0	0	0	976332	0	0	1433.52	0	585788	20294.7	0	94101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2928.77	0	0	0	0	242.081	0	0	0	826.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269.517	0	0	0	2572.09	0	0	3673.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14390.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.739	0	0	0	0	0	0	0	0	0	0	0	0	0	3699.65	0	0	0	0	0	0	0	33984.1	0	0	0	0	7359.34	0	0	0	0	0	0	0	0	1719.58	0	0	0	0	62355.7	0	0	0	0	5141.02	0	0	4936.43	0	0	0	0	15.3816	7370.25	25072.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2369.91	0	0	0	0	0	0	0	0	0	0	2446.4	0	290.234	0	0	12552.5	0	950.696	0	0	0	0	0	0	103.179	0	0	0	0	0	0	0	0	0	0	4850.62	0	0
DNA:Pseudomonas_aeruginosa	70084.3	0	0	0	991793	692737	0	0	0	0	732.849	0	0	0	0	0	0	0	37407.8	845903	0	0	0	0	0	0	0	0	0	0	0	0	2705.64	2348.66	0	0	0	0	0	0	0	668.227	0	897.302	0	0	26071	0	0	118695	0	7433.33	0	0	0	0	0	0	0	954585	0	20831.6	0	0	0	0	0	0	0	0	0	0	0	10316.3	0	0	29173.9	0	0	0	0	990113	0	175455	0	30859	153390	0	950497	321232	0	944563	0	705651	0	984751	929507	998635	806192	0	992364	4649.56	0	848063	614456	908788	1e+06	0	983573	46.3809	0	989218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20587.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8585.74	17024.1	4797.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18885.4	0	0	8563.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30664.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5952.38	0	0	17207.8	0	0	0	0	0	0	0	0	6974.33	0	0	0	0	0	966322	0	0	0	35.5383	0	0	9129.02	0	0	0	0	973312	1094.15	0	0	0	10707.3	0	0	0	0	0	0	0	0	0	975582	0	64304.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999321	0	0	0	0	864533	0	0	0	0	0	0	0	0	0	0	0	54061.6	0	0	0	0	0	0	44297.4	0	0	0	0	0	0	0	0	1409.48	0	0	0	2960.77	0	0	0	0	0	0	0	0	0
DNA:Parvimonas_micra	0	0	0	0	0	0	0	0	0	0	0	214425	0	8491.08	4998.21	0	4599.31	0	0	0	0	6451.61	0	0	6412.31	0	0	0	0	0	0	2160.33	328.299	19112.2	164066	0	15208.2	160405	8061.75	19363.5	5262.25	0	142857	10757.5	882.369	23549	0	580.333	1201.54	0	0	14738.9	757.395	23729.6	222898	0	0	83944.3	6912.84	0	25305.2	0	0	3701.79	892938	447273	0	0	0	915.026	0	0	913.166	1267.29	0	304738	0	0	0	0	0	0	0	0	51.641	0	0	0	0	44662	0	0	0	10165.6	0	101.846	0	0	0	0	0	11976.7	0	0	0	0	0	0	0	3676.03	0	0	0	0	0	0	0	45.569	17982	0	0	0	0	0	0	10925.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1622.94	1560.78	0	0	0	0	0	0	0	0	0	55622.5	0	0	0	4061.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6579.85	0	7074.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46821.1	0	0	0	0	0	3628.45	0	0	0	0	2368.85	0	0	0	0	0	0	0	4922.2	14226.7	8652.66	0	0	37102.5	0	0	0	0	0	0	0	0	686.028	15395	0	0	0	17529.9	0	0	0	0	0	0	0	289562	0	0	0	0	173.947	2817.66	0	0	0	0	0	0	0	0	0	0	0	45583.2	0	0	0	0	0	4651.46	0	0	0	0	4237.29	0	0	0	0	0	0	2673.56	5760.61	0	0	0	0	1477.19	0	0	0	0	0	0	0	8169.44	0	0	0	0	1168.27	0	0	0	89.5501	0	6177.33	0	0	3001.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23020.3	0	14383	0	2678.47	0	0	11544	7355.08	0	0	6030.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2032.84	17906.3	0	0	0	0	0	0	0	0	11369	294431	0	7113.1	0	0	2463.57	0	3274.62	44034.1	0	0	0	318577	0	556.819	108738	0	0	3113.91	14151.7	115526	0	0	0	1666.5	11914.9	0	0
DNA:Streptococcus_intermedius	0	0	0	0	0	0	0	0	0	0	0	0	0	221120	0	0	835.572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520.751	1644.06	4360.66	0	0	0	0	2065.44	282.785	0	0	1470.16	0	2874.29	0	0	0	0	0	1149.48	0	25747.8	0	0	18319.7	0	0	0	34028.3	0	0	849.59	0	0	0	0	0	327.678	0	0	8135.48	105994	0	13474.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1742.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1274.4	0	0	0	0	0	0	0	603.789	0	0	0	0	0	0	0	0	533.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2286.04	0	0	0	0	0	0	328.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38912.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625.605	0	0	0	0	0	0	0	1205.96	0	13719.5	0	0	0	0	0	0	467.234	19552.8	0	0	0	0	0	0	0	0	0	0	0	0	1078.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298.872	520.183	0	0	0	0	0	0	0	0	0	0	0	12740.7	0	0	0	0	708.361	1098.26	0	0	0	0	0	0	0	154.122	0	0	0	0	1120.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.90319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901.935	0	0	1003.82	19452.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.198	0	0	0	0	0	0	0	6714.34	0	9474.18	1103.28	0	799.332	0	0	0	0	554.573	0	0	0	0	1933.83	0	459.693	0	0	0	927.368	31867.1	0	0	0	0	1474.95	1277.76	0	0
DNA:Streptococcus_pneumoniae	344486	0	33182	0	0	0	0	89309	0	0	0	0	0	102157	0	0	127832	0	0	744.945	718883	11981.6	734177	0	0	139373	0	0	0	0	0	49070.3	51871.3	72602.9	0	0	0	10130.9	0	26713	2102.44	1821.25	0	72032.6	0	28339.5	1493.9	0	0	0	32038.4	103147	0	66175.5	0	0	0	0	58887.1	0	7534.84	422.286	0	113651	0	0	0	0	0	220014	0	0	40345.3	8508.96	0	0	99942.2	0	0	0	0	0	0	0	63.667	0	233498	0	0	0	0	0	0	0	0	786.993	0	0	172632	0	183.848	0	0	0	10660.7	0	0	77326.3	0	59120	0	0	0	25786.7	0	0	81192.2	8164.44	0	0	0	0	0	0	49968	49943.2	143164	0	11095.3	0	116975	0	0	0	0	0	0	0	6185.57	0	0	0	15147.4	221906	0	0	138929	0	0	0	24449.9	0	0	78729.4	34444	0	0	15838.6	0	0	111081	0	28915.9	0	0	0	0	0	0	42268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66080.4	0	0	0	0	0	0	0	222222	0	0	0	0	110186	0	81424.9	26552.3	0	0	31475.2	0	6839.51	0	115995	67028.1	0	0	191044	0	0	284833	17123.9	0	0	175916	99793.3	0	0	0	0	0	0	0	21435.4	158165	75738.8	0	0	0	0	0	0	0	0	0	0	0	22867.6	138508	0	0	0	0	256084	0	0	0	0	0	0	0	0	0	0	34297.2	90798.5	62023.2	0	0	153996	0	0	35874.4	0	0	0	0	0	21800.7	0	0	0	132986	440726	205763	0	80171	0	50152	82728	0	0	315.951	0	0	0	54897.1	213836	57819.2	0	138182	13477.3	0	0	0	0	0	0	0	0	8547.66	124.957	0	0	3381.12	6659.14	0	0	0	1626.86	0	24345.9	0	69915.3	0	0	0	118040	0	0	0	70020.7	0	0	0	0	0	0	19457.2	0	0	25422.7	0	31526.7	204852	0	69649.8	120875	0	159056	0	0	0	0	187049	0	0	0	0	0	0	847.75	40951.1	0	3344.34	0	0	2957.17	0	0	0	0	66888	119497	0	0	114566	145902	911.402	215909	49477.7	0	77478.2	7484.57	53305.6	132015	170455	51689.9	0	0	0	73348.3	7788.55	0	0	0	5589.73	98649.6	0	0	0	115493	131481	14022.8	0	0
DNA:Streptococcus_oralis	16121.4	0	14669.9	0	0	0	0	50847.5	0	0	0	0	0	35749.3	0	0	40503.2	0	0	2447.68	962.488	41474.7	0	0	0	0	0	0	0	0	0	37034.2	19573.4	61300	721.311	0	0	15196.3	0	17470.2	381.144	135.392	0	43729.5	12959.8	52443.1	2168.57	0	1833.93	0	118943	39797.7	956.709	32931.6	0	0	0	0	24891.9	0	11774.9	756.444	92929.3	163396	0	0	0	0	0	42214.9	0	0	57778.5	2437.82	0	0	60080.9	0	0	0	0	0	0	0	1034.24	0	15941.8	0	0	0	0	2988.9	0	0	0	1185.12	0	0	0	0	1581.1	0	0	0	3045.92	0	0	0	0	50866.2	0	0	0	0	0	0	45221	10541.6	0	0	0	0	0	0	184177	82151	68927.3	0	19020.4	0	51360.2	0	0	0	0	0	0	0	27982.3	0	0	0	2885.22	57289.8	0	0	25102.9	0	0	0	0	0	0	41621	57843.5	0	0	19764.5	0	0	9348.1	0	11424.5	0	0	6926.05	186603	0	0	15728.4	0	0	0	0	0	0	0	0	0	0	0	2225.93	48198.1	0	0	0	47236.2	0	0	0	0	0	0	0	0	0	0	0	0	25784.8	0	0	41462.4	0	0	38680.3	0	11611.3	0	19828.2	124692	0	0	42159.9	0	0	54971	7164.07	0	21052.6	51570.7	23128.6	0	0	0	0	0	0	0	32867.6	39044	64164.5	0	0	0	0	0	0	0	0	0	0	0	7180.43	39742	0	0	0	141833	0	0	0	0	0	0	0	159933	0	2220.06	76749.4	56489.6	36682.2	36378.1	0	0	0	0	0	94170.4	0	0	0	0	0	50962.6	0	0	0	39058.9	44192.6	134473	0	41154.5	0	0	28954.8	0	0	1132.8	63969.4	0	0	69245.2	92383.2	56655	0	140000	8501.87	0	0	0	0	0	0	141221	0	4311.65	2631.55	1344.64	0	0	3349.04	0	0	0	866.213	0	60319.8	0	20480.2	4866.97	0	267606	45101.1	0	0	0	29564.3	0	0	0	0	0	0	29185.9	0	0	16843.3	0	47706.9	0	0	43125.7	96970.9	0	34889.7	63596.5	0	0	0	68885.4	0	0	0	0	0	0	2119.38	62087.2	0	1867.62	0	0	9785.42	0	0	0	0	27988.6	22012.6	31766.2	0	82352.9	25580.3	12327.9	0	36536.1	0	21648.3	2979.75	73475.3	84585.5	55397.7	254473	0	14079.4	0	45912.7	16224	0	0	0	7861.35	33649	0	0	0	185915	58423.1	9416.38	0	0
DNA:Human_betaherpesvirus_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1786	0	0	0	0	0	0	0	0	19980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3121.56	0	0	0	582192	0	0	0	0	0	281.658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2606.91	119.805	0	0	0	0	0	120482	0	0	0	0	0	0	0	0	0	0	22.1387	225.413	0	0	0	0	0	0	0	139227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
